size,seat_tube_length,seat_tube_angle,top_tube_length,head_tube_length,head_tube_angle,fork_rake,trail,wheelbase,chain_stay_length,bottom_bracket_drop,stack,reach,stand_over_height,handlebar_width,stem_length,crank_length
XS,465,74.5,520,120,71.0,45,70.5,976,405,72,517,376,722,380,80,165
S,500,74.0,535,130,72.3,45,62.5,977,405,70,528,383,753,380,90,165
M,520,73.5,550,145,73.0,45,57.8,980,405,70,545,388,770,400,100,170
ML,545,73.0,565,165,73.0,45,57.8,991,405,67,562,393,794,400,110,170
L,575,73.0,580,185,73.0,45,57.8,1006,405,67,581,402,821,420,110,172.5
XL,595,72.5,600,200,73.0,45,57.8,1020,405,67,596,412,834,420,120,172.5
