size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,width_tire_maximum
M,310,570,72.5,69,388,115,1031,20,684,392,564,50,6,720,170,350,57
L,310,590,72.5,69,388,115,1051,20,682,412,564,50,6,720,170,350,57
