size,wheel_size,seat_tube,seat_tube_angle,head_tube_length,head_angle,effective_top_tube,bottom_bracket_drop,chainstay_length,_offset,trail,wheelbase,standover,frame_reach,frame_stack,saddle_rail_height_min_w_short_mast_,saddle_rail_height_max_w_short_mast_,saddle_rail_height_min_w_tall_mast_,saddle_rail_height_max_w_tall_mast_
47cm,700c,420,74.6,110,71.0,509,80,420,53,61,986,686,364,527,55.5,62.0,58.5,65.0
50cm,700c,450,74.6,130,71.1,519,80,420,53,60,996,716,368,546,58.5,65.0,61.5,68.0
52cm,700c,475,74.2,145,71.3,530,80,420,53,59,1003,735,371,561,61.5,68.0,64.5,71.0
54cm,700c,500,73.7,160,71.3,542,80,420,53,59,1010,754,374,575,64.0,70.5,67.0,73.5
56cm,700c,525,73.3,175,71.9,554,78,420,48,61,1008,776,377,591,67.0,73.5,70.0,76.5
58cm,700c,548,73.0,195,72.0,567,78,425,48,60,1022,796,380,611,69.0,75.5,72.0,78.5
60cm,700c,567,72.8,220,72.1,579,75,425,48,59,1032,817,383,632,71.0,77.5,74.0,80.5
62cm,700c,586,72.5,245,72.1,593,75,425,48,59,1042,835,386,656,73.0,79.5,76.0,82.5
