size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_seatpost,diameter_tire_maximum,width_tire_maximum
46,460,558,73,70,455,113,1067,60,785,374,601,90,18,680,170,350,27.2,728,48
50,500,569,73,70,455,133,1079,60,817,380,620,90,18,680,170,350,27.2,728,48
54,540,583,73,70,455,153,1094,60,848,388,638,90,18,680,175,350,27.2,728,48
58,580,598,73,70,455,173,1110,60,879,397,657,90,18,680,175,350,27.2,728,48
62,620,613,73,71,455,193,1114,60,911,405,681,90,18,680,175,350,27.2,728,48
