size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,handlebar_width,crank_length,length_seat_post,diameter_seatpost,diameter_tire_maximum,width_tire_maximum
47,410,510,74.6,70.6,420,120,991,74,718,365,525,70,380,165,350,27.2,695,34
50,440,517,74.6,71.1,420,130,994,74,741,369,538,90,400,165,350,27.2,695,34
53,470,537,74,72,420,152,1000,74,767,376,561,90,400,170,350,27.2,695,34
56,500,560,73.5,72.5,420,182,1014,74,796,385,591,100,420,170,350,27.2,695,34
58,520,575,73,72.5,420,202,1023,74,816,388,610,100,420,172.5,400,27.2,695,34
60,540,590,72.5,72.5,420,222,1033,74,835,392,629,100,440,172.5,400,27.2,695,34
62,560,595,72.5,72.5,420,242,1038,74,855,391,648,100,440,172.5,400,27.2,695,34
