size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_seatpost,diameter_tire_maximum,width_tire_maximum
46,440,570,74.5,70.5,470,105,1105,60,772,405,595,90,6,700,170,350,27.2,742,50
50,480,585,73.5,71,470,120,1104,60,805,404,612,90,6,700,170,350,27.2,742,50
54,520,600,73,71,470,140,1114,60,838,407,630,90,6,700,175,350,27.2,742,50
58,560,615,73,71,470,155,1130,60,867,418,645,90,6,700,175,350,27.2,742,50
62,600,622,73,71,470,170,1137,60,897,421,659,90,6,700,175,350,27.2,742,50
