size,wheel_size,seat_tube_length,top_tube_horizontal,top_tube_actual,head_tube_angle,seat_tube_angle,standover,head_tube_length,wheelbase,front_center,chain_stay_length,bottom_bracket_drop,bottom_bracket_height,fork_rake,trail,stack,reach
46,700c,449,507,N/A,70.0,73.9,743,93,1002,590,422,70,280,55,89,515,365
51,700c,488,524,N/A,71.0,73.1,773,110,1005,593,422,70,280,55,62,535,371
54,700c,524,537,N/A,71.0,73.1,802,132,1020,607,422,69,281,55,62,555,378
56,700c,546,555,N/A,71.0,72.7,822,153,1034,621,422,69,281,55,62,575,385
58,700c,566,568,N/A,71.0,72.7,843,175,1048,635,422,68,282,55,62,595,392
