size,wheel_size,seat_tube,seat_tube_angle,head_tube_length,head_angle,effective_top_tube,bottom_bracket_drop,chainstay_length,_offset,trail,wheelbase,standover,frame_reach,frame_stack
47 cm,700c,444,75.3,95,70.8,507,70,425,45,75,995,724,371,519
50 cm,700c,476,75.0,110,71.0,518,70,425,45,74,1001,747,375,534
52 cm,700c,493,74.5,123,71.5,531,70,425,45,71,1005,761,379,547
54 cm,700c,513,74.0,138,72.0,544,68,425,45,67,1010,779,383,562
56 cm,700c,533,73.6,157,72.0,558,68,425,45,67,1020,796,387,580
58 cm,700c,553,73.3,176,72.3,570,65,425,45,66,1028,816,391,597
61 cm,700c,583,73.0,205,72.3,588,65,425,45,66,1043,843,397,624
