size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_seatpost,stroke_seatpost,diameter_tire_maximum,width_tire_maximum,rear_suspension_travel
M,420,583,76.7,63.8,435,103,1223,27,742 / 746,446,626,40,6,800,170,462,31.6,150,758,66,170
L,420,604,76.7,63.8,435,105,1244,27,737 / 741,466,627,40,6,800,170,510,31.6,170,758,66,170
XL,470,627,76.7,63.8,435,115,1268,27,755 / 759,486,636,50,6,800,170,510,31.6,170,758,66,170
XXL,470,656,76.7,63.8,435,135,1297,25,759 / 763,506,656,50,6,800,170,510,31.6,170,758,66,170
