size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_tire_maximum,width_tire_maximum
50,440,527,75,72.2,410,107,981,72,723,389,514,90,-10,380,165,350,693,31
52,460,537,74.2,72.5,410,117,981,72,739,389,524,90,-10,380,165,350,693,31
54,480,550,73.5,73,410,137,984,69,760,390,542,100,-10,400,170,350,693,31
56,500,565,73.5,73.5,410,157,995,69,780,398,563,100,-10,400,170,400,693,31
58,520,580,73,73.5,410,177,1005,67,800,403,580,110,-10,420,172.5,400,693,31
60,540,592,72.5,73.5,410,192,1011,67,817,405,594,120,-10,420,172.5,400,693,31
