size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_seatpost,diameter_tire_maximum,width_tire_maximum
46,460,570,74.5,70.5,470,130,1107,60,684,398,619,90,17,700,170,350,27.2,742,50
50,500,580,74,71,470,140,1106,60,696,399,630,90,17,700,170,350,27.2,742,50
54,540,595,73.5,71,470,160,1116,60,716,403,649,90,17,700,175,350,27.2,742,50
