size,seat_tube_length,a1_seat_post_insertion_depth,seat_tube_angle,top_tube_length,head_tube_length,head_tube_angle,fork_rake,trail,wheelbase,chain_stay_length,bottom_bracket_drop,stack,reach,stand_over_height,handlebar_width,stem_length,crank_length,wheel_size
S,400,262,77.5,558,100,62.7,44,147,1214,445,29,633,418,714,800,40,165,
M,425,287,77.5,589,105,62.7,44,147,1246,445,29,638,448,733,800,40,170,
L,450,312,76.5,622,115,62.7,44,147,1271,445,29,647,468,746,800,40,170,
XL,475,337,76.5,654,120,62.7,44,147,1304,445,29,652,499,762,800,40,170,
