size,body_height_in_cm,seat_height_in_mm,seat_tube_length_in_mm,top_tube_length_in_mm,head_tube_length_in_mm,head_tube_angle,seat_tube_angle,chainstay_length_in_mm,wheel_base_in_mm,stack_in_mm,reach_in_mm,stand_over_height_in_mm,bottom_bracket_offset_in_mm,spacer_in_mm,stem_length_in_mm,handlebar_width_in_mm,crank_length_in_mm,chainring_size,seat_post_diameter_in_mm,dropper_post_travel_in_mm,seat_post_length_in_mm,maximum_seat_post_insertion_depth_in_mm,minimum_seat_post_insertion_depth_in_mm,wheel_size,disc_size_in_mm,front_fork_travel_in_mm,rear_suspension_travel_in_mm,fitting_length
S,≤ 177,642 - 821,395,567,95,63.5,78.0,424,1.202,619,435,758,30,20,40,780,170.0,32,"30,9",150,458,259,80,"29""/27.5""",220 / 203,170,170,250X70
M,172 - 185,697 - 896,430,594,105,63.5,78.0,424,1.231,628,460,764,30,20,40,780,170.0,32,"30,9",170,498,279,80,"29""/27.5""",220 / 203,170,170,250X70
L,180 - 194,697 - 896,430,619,110,63.5,78.0,424,1.258,632,485,766,30,20,40,800,170.0,32,"30,9",170,498,279,80,"29""/27.5""",220 / 203,170,170,250X70
XL,≥ 189,732 - 961,435,648,130,63.5,78.0,424,1.292,650,510,773,30,20,40,800,170.0,32,"30,9",200,558,309,80,"29""/27.5""",220 / 203,170,170,250X70
