size,seat_tube_length,a1_seat_post_insertion_depth,seat_tube_angle,top_tube_length,head_tube_length,head_tube_angle,fork_rake,trail,wheelbase,chain_stay_length,bottom_bracket_drop,stack,reach,stand_over_height,handlebar_width,stem_length,crank_length,wheel_size
S,400,217,76.5,560,110,65.5,44,117.5,1164,435,20,603,415,728,780,40,170,
M,425,242,76.5,592,120,65.5,44,117.5,1198,435,20,612,445,738,780,40,170,
L,450,268,76.5,620,125,65.5,44,117.5,1226,435,20,616,470,754,780,50,170,
