size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_tire_maximum,width_tire_maximum
50,440,522,74.6,71.5,412,107,987,73,734,378,523,90,-6,380,165,350,693,32
53,470,539,74,72,412,127,994,73,760,383,543,100,-6,400,165,350,693,32
56,500,560,73.5,72.5,412,157,1007,71,791,391,572,100,-6,400,170,350,693,32
58,520,575,73,72.5,412,177,1017,71,810,394,591,110,-6,420,170,400,693,32
60,540,590,72.5,72.5,412,195,1027,69,829,399,606,110,-6,420,172.5,400,693,32
62,560,600,72.5,72.5,412,218,1037,69,849,402,628,120,-6,420,172.5,400,693,32
