size,body_height_in_cm,seat_height_in_mm,seat_tube_length_in_mm,top_tube_length_in_mm,head_tube_length_in_mm,head_tube_angle,seat_tube_angle,chainstay_length_in_mm,wheel_base_in_mm,stack_in_mm,reach_in_mm,stand_over_height_in_mm,bottom_bracket_offset_in_mm,spacer_in_mm,stem_length_in_mm,handlebar_width_in_mm,crank_length_in_mm,chainring_size,seat_post_diameter_in_mm,dropper_post_travel_in_mm,seat_post_length_in_mm,maximum_seat_post_insertion_depth_in_mm,minimum_seat_post_insertion_depth_in_mm,wheel_size,disc_size_in_mm,front_fork_travel_in_mm,rear_suspension_travel_in_mm,fitting_length
XS,≤ 168,630 - 765,390,556,90,66.0,76.0,430,1.139,587,410,756,18,15,50,740,165.0,30,"30,9",150,417,225,90,"27.5""",180 / 180,140,130,190X45
S,163 - 177,650 - 775,390,579,100,66.0,76.0,430,1.164,596,430,759,18,15,50,740,165.0,30,"30,9",170,457,245,120,"27.5""",180 / 180,140,130,190X45
M,172 - 185,685 - 810,425,611,110,66.0,76.0,440,1.203,626,455,777,38,15,50,760,170.0,30,"30,9",170,457,245,120,"29""",180 / 180,140,130,210X50
L,180 - 194,750 - 875,460,639,125,66.0,76.0,440,1.234,639,480,783,38,15,50,760,170.0,30,"30,9",200,517,275,150,"29""",180 / 180,140,130,210X50
XL,≥ 189,790 - 915,500,674,143,66.0,76.0,440,1.271,656,510,790,38,15,50,760,170.0,30,"30,9",200,517,275,150,"29""",180 / 180,140,130,210X50
