size,wheel_size,seat_tube,seat_tube_angle,head_tube_length,head_angle,effective_top_tube,bottom_bracket_drop,chainstay_length,_offset,trail,wheelbase,standover,frame_reach,frame_stack
44cm,700c,390,74.6,95,70.3,507,80,420,53,66,983,657,360,510
49cm,700c,440,74.6,123,70.8,516,80,425,53,66,1001,717,368,540
52cm,700c,475,74.2,145,71.3,530,80,420,53,59,1003,735,371,561
54cm,700c,500,73.7,160,71.3,542,80,420,53,59,1010,754,374,575
56cm,700c,525,73.3,175,71.9,554,78,420,48,61,1018,776,377,591
58cm,700c,548,73.0,195,72.0,567,78,425,48,60,1022,796,380,611
61cm,700c,576,72.7,235,72.1,586,75,425,48,63,1038,842,385,646
