size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,handlebar_width,crank_length,length_seat_post,diameter_seatpost,diameter_tire_maximum,width_tire_maximum
47,410,510,74.6,70.6,420,120,1000,74,709,375,525,70,380,165,350,27.2,695,32
50,440,517,74.6,71.5,420,130,1000,74,732,378,538,90,400,165,350,27.2,695,32
53,470,537,74,72,420,152,1008,74,759,384,561,90,400,170,350,27.2,695,32
56,500,560,73.5,72.5,420,182,1020,74,790,391,591,100,420,170,350,27.2,695,32
58,520,575,73,72.5,420,202,1020,74,808,394,610,100,420,172.5,400,27.2,695,32
60,540,590,72.5,72.5,420,222,1028,74,828,396,630,100,440,172.5,400,27.2,695,32
62,560,595,72.5,72.5,420,242,1036,74,848,393,648,110,440,172.5,400,27.2,695,32
