size,top_tube_horizontal,seat_tube_length,seat_tube_angle,head_tube_angle,chainstay,fork_rake,wheelbase,trail,bb_drop,front_center_distance,head_tube_length,stack,reach,standover_height,fork_axle_to_crown
51T,535,518,74,71.5,432,60,1023,53.3,77,603,124,570,370,786,408
54R,549,531,74,72,432,60,1032,50.1,77,612,110,558,388,789,408
54T,548,537,74,72,432,60,1033,50.1,77,613,143,590,378,805,408
56R,567,549,73.5,72,432,60,1047,50.1,75,626,131,576,396,808,408
56T,567,557,73.5,72,432,60,1048,50.1,75,627,167,611,386,827,408
58R,580,567,73.5,72.5,432,60,1056,47,75,635,148,594,404,825,408
58T,581,575,73.5,72.5,432,60,1057,47,75,636,185,630,394,845,408
61T,595,594,73.5,72.5,432,60,1072,47,75,651,206,650,402,864,408
