size,seat_tube_length,a1_seat_post_insertion_depth,seat_tube_angle,top_tube_length,head_tube_length,head_tube_angle,fork_rake,trail,wheelbase,chain_stay_length,bottom_bracket_drop,stack,reach,stand_over_height,handlebar_width,stem_length,crank_length,wheel_size
S/M,430,155,78.4,571.2,110,61.6,52,146.4,1273,447.9,13.1,634.6,440.9,733.7,800,50,165,
M/L,450,165,78.4,591.3,110,61.6,52,146.2,1293,447.9,13.3,634.9,461.2,735.2,800,50,165,
L/XL,450,165,78.5,611.3,110,61.7,52,146,1313,447.9,13.5,635.3,481.5,742.9,800,50,165,
