size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_seatpost,max_insertion_depth_seat_post,diameter_tire_maximum,width_tire_maximum
46,440,550,74.5,69,470,115,1097,-70,657,391,573,90,17,680,175,350,27.2,280,798,58
50,480,565,74,69,470,135,1109,-70,670,395,591,90,17,680,175,350,27.2,300,798,58
54,520,580,73.5,69,470,155,1109,-70,678,398,614,90,17,680,175,350,27.2,300,798,58
