size,wheel_size,seat_tube,seat_tube_angle,head_tube_length,head_angle,effective_top_tube,bottom_bracket_drop,chainstay_length,_offset,trail,wheelbase,standover,frame_reach,frame_stack
47cm,700c,424,74.6,100,72.1,512,72,410,45,68,972,692,373,507
50cm,700c,453,74.6,111,72.1,521,72,410,45,62,974,711,378,521
52cm,700c,483,74.2,121,72.8,534,72,410,45,58,977,732,383,533
54cm,700c,496,73.7,131,73.0,543,70,410,45,56,981,744,386,541
56cm,700c,525,73.3,151,73.5,559,70,410,40,58,983,768,391,563
58cm,700c,553,73.0,171,73.8,574,68,411,40,57,992,793,396,581
60cm,700c,573,72.8,191,73.9,586,68,411,40,56,1001,811,399,601
62cm,700c,593,72.5,211,73.9,598,68,412,40,56,1010,829,403,620
