size,crank_length,handlebar_width,stem_length,saddle_width,seatpost_length,stack,reach,head_tube_length,head_tube_angle,bb_height,bb_drop,trail,fork_length_full,fork_rake_offset,front_center,chainstay_length,wheelbase,top_tube_length_horizontal,bike_standover_height,seat_tube_length,seat_tube_angle
44,165,360,70,155,380,543,353,90,69.3,269,80,76,375,52,589,418,994,503,686,365,75
49,165,380,80,155,380,549,363,90,70.8,269,80,66,375,52,587,418,992,523,719,410,74
52,170,400,90,155,380,566,370,105,71.5,269,80,62,375,52,593,418,998,534,747,446,74
54,172.5,420,100,143,380,585,381,122,72.3,270,78,61,375,47,598,420,1005,550,766,465,74
56,172.5,420,100,143,380,605,389,140,73,270,78,57,375,47,604,420,1012,569,787,485,73.5
58,175,440,110,143,450,630,397,168,73,271,78,57,375,47,620,423,1031,584,809,505,73.5
61,175,440,110,143,450,665,403,202,73.5,271,78,54,375,47,631,423,1042,600,847,545,73.5
64,175,440,120,143,450,685,409,222,73.5,271,78,54,375,47,634,423,1054,618,865,581,73
