size,seat_tube,top_tube_horizontal,seat_angle,head_tube_angle,chainstays,head_tube,wheelbase,bb_height_to_hub,protrusion_height_80mm,reach,stack,stem_length,angle_stem,handlebar_width,crank_length,length_seat_post,diameter_tire_maximum,width_tire_maximum
50,460,527,75,72.3,410,95,981,72,742,389,514,90,-6,400,165,350,691,28
52,480,537,74.2,72.5,410,105,981,72,757,389,524,90,-6,400,165,350,691,28
54,500,550,73.5,73,410,125,984,69,779,389,542,100,-6,400,170,350,691,28
56,520,565,73.5,73.5,410,145,995,69,798,398,563,100,-6,400,170,350,691,28
58,540,580,73,73.5,410,165,1005,67,818,403,580,110,-6,420,172.5,350,691,28
60,560,592,72.5,73.5,410,180,1011,67,835,405,594,120,-6,420,172.5,350,691,28
