size,wheel_size,seat_tube_length,top_tube_horizontal,top_tube_actual,head_tube_angle,seat_tube_angle,standover,head_tube_length,wheelbase,front_center,chain_stay_length,bottom_bracket_drop,bottom_bracket_height,fork_rake,trail,stack,reach,axle_to_crown
44,700c,407,522,478,69.8,73.0,714,91,1003,589,425,75,278,55,71,510,366,393
48,700c,407,533,486,70.9,73.0,722,108,1005,592,425,75,278,55,64,530,371,393
51,700c,443,544,497,71.3,73.0,752,127,1013,600,425,75,278,55,61,550,376,393
54,700c,480,555,509,71.3,73.0,785,150,1026,612,425,73,280,55,61,570,381,393
56,700c,520,567,523,71.3,73.0,815,171,1044,624,430,73,280,55,61,590,387,393
58,700c,550,580,537,71.3,73.0,843,196,1058,638,430,70,283,55,61,610,393,393
61,700c,590,598,556,71.3,73.0,878,227,1077,657,430,70,283,55,61,640,402,393
