size,crank_length,handlebar_width,stem_length,saddle_width,seatpost_length,stack,reach,head_tube_length,head_tube_angle,bb_height,bb_drop,trail,fork_length_full,fork_rake_offset,front_center,chainstay_length,wheelbase,top_tube_length_horizontal,bike_standover_height,seat_tube_length,seat_tube_angle
49,165,380,70,155,330,530,375,100,70.5,284,74,74,401,50,594,425,1008,512,749,466,75.5
52,170,400,80,155,330,547,382,115,71.25,284,74,69,401,50,600,425,1014,539,772,496,74
54,172.5,420,90,143,330,560,388,130,71.5,286,72,67,401,50,608,425,1023,549,794,521,74
56,172.5,420,100,143,380,578,397,147,72,286,72,64,401,50,618,425,1033,568,816,546,73.5
58,175,440,110,143,380,598,405,167,72.25,286,72,62,401,50,630,425,1045,582,841,576,73.5
61,175,440,110,143,380,621,415,190,72.5,286,72,60,401,50,644,425,1059,599,866,606,73.5
