size,seat_tube_length,a1_seat_post_insertion_depth,seat_tube_angle,top_tube_length,head_tube_length,head_tube_angle,fork_rake,trail,wheelbase,chain_stay_length,bottom_bracket_drop,stack,reach,stand_over_height,handlebar_width,stem_length,crank_length,wheel_size
M,425,383,77.9,588,105,63.1,56,129.8,1228,443,25,635,452,737,800,50,165,
L,450,308,77.0,621,115,63.1,56,130,1283,443,25,644,472,750,800,50,165,
XL,475,333,77.0,653,120,63.1,56,130,1316,443,25,648,503,766,800,50,165,
